numbers,bonus_ball,,,,,
5,15,17,27,45,49,24
3,17,23,28,33,34,6
2,10,22,41,45,47,32
14,17,35,38,40,45,26
4,7,20,38,48,49,43
9,17,19,22,35,36,5
12,15,26,27,29,46,8
11,25,36,40,41,46,39
1,6,13,32,41,46,16
20,22,29,34,42,44,3
11,17,23,26,35,42,30
13,21,37,38,40,46,7
2,10,22,41,45,47,32
14,17,35,38,40,45,26
4,7,20,38,48,49,43
9,17,19,22,35,36,5
12,15,26,27,29,46,8
11,25,36,40,41,46,39
1,6,13,32,41,46,16
20,22,29,34,42,44,3
11,17,23,26,35,42,30
13,21,37,38,40,46,7
1,5,23,33,35,40,30
5,12,18,24,29,45,41
2,3,11,16,34,41,13
13,18,42,44,45,46,40
5,7,14,18,44,47,22
22,24,27,29,39,42,23
6,11,24,36,43,44,20
1,11,27,32,43,44,9
2,15,20,24,36,49,3
2,3,7,28,33,41,40
1,5,23,33,35,40,30
5,12,18,24,29,45,41
2,3,11,16,34,41,13
13,18,42,44,45,46,40
5,7,14,18,44,47,22
22,24,27,29,39,42,23
6,11,24,36,43,44,20
1,11,27,32,43,44,9
2,15,20,24,36,49,3
2,3,7,28,33,41,40
1,12,31,34,43,47,15
3,27,29,37,41,42,48
10,16,19,28,36,41,21
7,8,11,29,34,39,22
5,28,37,39,44,49,17
15,18,24,31,36,48,26
8,12,16,18,27,39,6
3,14,27,32,42,45,48
8,17,28,35,38,40,36
5,7,9,15,41,42,47
1,12,31,34,43,47,15
3,27,29,37,41,42,48
10,16,19,28,36,41,21
7,8,11,29,34,39,22
5,28,37,39,44,49,17
15,18,24,31,36,48,26
8,12,16,18,27,39,6
3,14,27,32,42,45,48
8,17,28,35,38,40,36
5,7,9,15,41,42,47
1,3,22,23,36,47,40
3,11,31,37,42,47,48
3,12,18,24,45,46,7
4,11,18,21,29,42,34
1,4,22,25,42,43,20
2,18,21,23,37,43,41
7,10,25,28,39,48,43
7,18,20,34,46,48,17
1,4,7,12,31,35,38
14,26,27,31,37,40,39
1,3,22,23,36,47,40
3,11,31,37,42,47,48
3,12,18,24,45,46,7
4,11,18,21,29,42,34
1,4,22,25,42,43,20
2,18,21,23,37,43,41
7,10,25,28,39,48,43
7,18,20,34,46,48,17
1,4,7,12,31,35,38
14,26,27,31,37,40,39
7,16,19,21,23,28,24
3,29,30,35,46,49,48
2,17,22,26,31,35,8
7,14,17,21,26,37,45
12,20,30,35,41,42,27
6,23,24,35,36,46,15
6,21,26,31,34,35,30
27,30,31,43,46,47,11
10,21,24,25,29,44,27
14,17,22,35,40,47,5
7,16,19,21,23,28,24
3,29,30,35,46,49,48
2,17,22,26,31,35,8
7,14,17,21,26,37,45
12,20,30,35,41,42,27
6,23,24,35,36,46,15
6,21,26,31,34,35,30
27,30,31,43,46,47,11
10,21,24,25,29,44,27
14,17,22,35,40,47,5
3,17,19,20,46,49,21
7,27,29,34,44,45,16
14,16,17,20,35,47,40
7,29,30,38,47,48,34
15,16,23,37,40,44,26
1,13,20,29,41,43,36
27,37,41,44,45,49,39
6,28,31,33,34,40,46
7,8,24,25,26,46,39
5,7,19,25,35,42,41
3,17,19,20,46,49,21
7,27,29,34,44,45,16
14,16,17,20,35,47,40
7,29,30,38,47,48,34
15,16,23,37,40,44,26
1,13,20,29,41,43,36
27,37,41,44,45,49,39
6,28,31,33,34,40,46
7,8,24,25,26,46,39
5,7,19,25,35,42,41
3,21,23,27,46,47,22
10,19,23,35,39,42,11
10,13,26,27,40,46,16
6,10,17,32,41,48,46
6,9,14,16,18,32,47
9,23,25,26,34,36,22
13,15,30,40,47,48,45
7,24,25,28,35,41,40
2,3,12,27,32,49,35
3,6,20,32,36,38,8
13,24,34,35,41,48,33
25,30,37,39,42,46,33
3,4,9,23,34,38,8
1,3,19,26,44,47,12
3,10,15,21,23,27,17
8,16,18,22,28,42,19
20,22,25,28,40,45,31
20,27,28,32,48,49,37
5,10,23,24,25,49,9
31,34,37,39,46,47,30
13,24,34,35,41,48,33
25,30,37,39,42,46,33
3,4,9,23,34,38,8
1,3,19,26,44,47,12
3,10,15,21,23,27,17
8,16,18,22,28,42,19
20,22,25,28,40,45,31
20,27,28,32,48,49,37
5,10,23,24,25,49,9
31,34,37,39,46,47,30
14,17,22,24,27,31,5
3,7,16,37,39,43,13
9,21,24,25,41,47,22
18,30,32,43,47,48,34
1,4,9,11,40,41,24
19,28,29,30,38,40,46
8,9,29,30,33,42,16
2,7,29,35,37,48,17
1,7,13,25,39,40,28
1,6,21,23,37,39,28
14,17,22,24,27,31,5
3,7,16,37,39,43,13
9,21,24,25,41,47,22
18,30,32,43,47,48,34
1,4,9,11,40,41,24
19,28,29,30,38,40,46
8,9,29,30,33,42,16
2,7,29,35,37,48,17
1,7,13,25,39,40,28
1,6,21,23,37,39,28
3,14,17,27,41,44,1
12,15,16,21,25,29,43
7,11,14,28,29,33,42
2,5,14,19,35,48,37
21,26,27,28,37,43,1
4,18,22,26,34,46,15
2,3,14,21,22,35,27
11,13,20,28,33,35,9
22,31,37,42,43,49,27
9,11,23,33,37,45,48
3,14,17,27,41,44,1
12,15,16,21,25,29,43
7,11,14,28,29,33,42
2,5,14,19,35,48,37
21,26,27,28,37,43,1
4,18,22,26,34,46,15
2,3,14,21,22,35,27
11,13,20,28,33,35,9
22,31,37,42,43,49,27
9,11,23,33,37,45,48
7,15,29,37,46,49,32
5,10,13,23,27,29,19
7,10,14,21,25,46,37
11,20,25,45,47,49,15
9,20,35,44,45,46,19
10,23,41,43,44,46,11
23,28,38,40,42,46,25
14,17,19,21,26,34,1
25,28,32,34,39,49,38
20,22,25,27,38,42,41
7,15,29,37,46,49,32
5,10,13,23,27,29,19
7,10,14,21,25,46,37
11,20,25,45,47,49,15
9,20,35,44,45,46,19
10,23,41,43,44,46,11
23,28,38,40,42,46,25
14,17,19,21,26,34,1
25,28,32,34,39,49,38
20,22,25,27,38,42,41
16,26,32,35,37,38,45
5,15,18,21,38,45,27
2,12,22,30,31,39,18
1,23,27,32,45,46,17
11,13,29,34,37,43,36
8,22,26,35,38,45,2
2,3,34,36,39,49,47
11,12,24,27,29,39,8
1,6,14,16,23,37,33
3,18,22,38,44,48,28
16,26,32,35,37,38,45
5,15,18,21,38,45,27
2,12,22,30,31,39,18
1,23,27,32,45,46,17
11,13,29,34,37,43,36
8,22,26,35,38,45,2
2,3,34,36,39,49,47
11,12,24,27,29,39,8
1,6,14,16,23,37,33
3,18,22,38,44,48,28
1,12,23,26,43,47,38
9,26,33,39,40,48,25
10,23,26,41,42,44,30
1,7,9,43,45,46,31
1,5,27,29,31,44,28
9,19,23,24,26,41,44
7,17,25,26,31,40,9
1,10,30,36,45,47,20
3,12,16,17,20,26,10
8,9,14,20,31,37,30
1,12,23,26,43,47,38
9,26,33,39,40,48,25
10,23,26,41,42,44,30
1,7,9,43,45,46,31
1,5,27,29,31,44,28
9,19,23,24,26,41,44
7,17,25,26,31,40,9
1,10,30,36,45,47,20
3,12,16,17,20,26,10
8,9,14,20,31,37,30
19,23,27,29,35,43,44
3,12,15,16,33,49,10
3,15,18,43,46,48,4
1,8,34,35,36,44,48
3,4,13,15,17,30,12
1,10,31,34,36,42,27
9,17,21,24,37,44,40
14,26,27,35,40,45,5
2,19,22,23,24,28,1
7,19,24,37,43,44,26
19,23,27,29,35,43,44
3,12,15,16,33,49,10
3,15,18,43,46,48,4
1,8,34,35,36,44,48
3,4,13,15,17,30,12
1,10,31,34,36,42,27
9,17,21,24,37,44,40
14,26,27,35,40,45,5
2,19,22,23,24,28,1
7,19,24,37,43,44,26
4,15,37,42,43,44,5
6,21,25,26,37,38,18
5,12,13,16,27,29,14
1,6,11,20,27,47,25
10,15,20,22,26,36,5
3,14,31,35,44,48,28
4,8,13,15,25,38,1
5,28,29,45,46,47,35
12,13,14,21,30,44,27
5,8,11,24,35,42,49
4,15,37,42,43,44,5
6,21,25,26,37,38,18
5,12,13,16,27,29,14
1,6,11,20,27,47,25
10,15,20,22,26,36,5
3,14,31,35,44,48,28
4,8,13,15,25,38,1
5,28,29,45,46,47,35
12,13,14,21,30,44,27
5,8,11,24,35,42,49
5,26,29,30,38,46,25
4,7,15,18,20,42,38
1,3,14,17,35,43,26
8,28,33,38,39,47,18
4,21,30,32,33,43,42
5,8,10,13,40,47,16
17,21,22,29,43,45,26
7,19,22,24,36,40,25
10,20,26,39,44,49,9
3,14,15,18,26,46,10
5,26,29,30,38,46,25
4,7,15,18,20,42,38
1,3,14,17,35,43,26
8,28,33,38,39,47,18
4,21,30,32,33,43,42
5,8,10,13,40,47,16
17,21,22,29,43,45,26
7,19,22,24,36,40,25
10,20,26,39,44,49,9
3,14,15,18,26,46,10
10,18,20,25,41,49,2
11,20,23,35,37,49,21
6,20,28,33,43,45,34
3,4,23,30,42,44,27
7,12,23,35,42,46,3
3,20,21,26,46,47,35
2,4,6,10,37,41,49
1,10,12,14,32,33,28
9,11,24,25,38,39,26
6,10,13,24,42,43,36
10,18,20,25,41,49,2
11,20,23,35,37,49,21
6,20,28,33,43,45,34
3,4,23,30,42,44,27
7,12,23,35,42,46,3
3,20,21,26,46,47,35
2,4,6,10,37,41,49
1,10,12,14,32,33,28
9,11,24,25,38,39,26
6,10,13,24,42,43,36
4,15,22,35,44,47,42
5,7,8,9,17,28,40
5,6,13,31,35,37,7
22,24,28,29,41,49,32
1,20,24,35,36,45,41
5,35,39,40,45,49,14
3,4,22,25,28,48,29
8,16,18,22,34,49,40
13,18,27,39,40,44,31
9,12,14,39,48,49,45
4,15,22,35,44,47,42
5,7,8,9,17,28,40
5,6,13,31,35,37,7
22,24,28,29,41,49,32
1,20,24,35,36,45,41
5,35,39,40,45,49,14
3,4,22,25,28,48,29
8,16,18,22,34,49,40
13,18,27,39,40,44,31
9,12,14,39,48,49,45
5,9,18,21,44,46,42
3,6,17,25,35,45,16
1,2,3,19,21,44,7
4,8,20,26,29,46,43
6,13,29,31,34,48,41
11,16,23,26,29,41,45
4,11,30,33,48,49,47
8,16,22,31,35,40,32
5,7,17,21,22,46,8
11,31,32,39,42,46,45
5,9,18,21,44,46,42
3,6,17,25,35,45,16
1,2,3,19,21,44,7
4,8,20,26,29,46,43
6,13,29,31,34,48,41
11,16,23,26,29,41,45
4,11,30,33,48,49,47
8,16,22,31,35,40,32
5,7,17,21,22,46,8
11,31,32,39,42,46,45
3,5,15,20,28,49,22
5,7,14,26,36,44,47
8,16,26,30,32,45,36
3,6,15,24,34,43,11
20,23,31,33,35,40,45
3,4,9,24,31,46,23
3,10,12,17,25,31,6
9,12,21,31,45,46,17
2,20,29,32,35,45,39
10,11,18,26,33,47,24
13,14,20,22,25,39,8
1,7,20,29,41,46,11
1,9,36,37,45,47,8
20,21,30,37,44,48,13
12,17,29,37,39,40,41
19,28,30,35,46,48,32
4,5,8,20,29,43,49
1,9,28,30,31,38,49
2,12,15,34,37,38,21
10,26,36,37,42,44,48
4,6,16,17,43,46,40
3,10,27,28,39,43,16
9,23,38,45,46,47,34
5,16,26,28,46,47,24
2,10,12,29,40,49,1
3,6,14,21,22,29,19
3,9,19,20,23,43,8
10,11,23,26,28,37,2
10,15,16,33,40,48,19
2,10,13,19,20,44,41
4,6,16,17,43,46,40
3,10,27,28,39,43,16
9,23,38,45,46,47,34
5,16,26,28,46,47,24
2,10,12,29,40,49,1
3,6,14,21,22,29,19
3,9,19,20,23,43,8
10,11,23,26,28,37,2
10,15,16,33,40,48,19
2,10,13,19,20,44,41
8,18,24,34,38,48,29
7,16,20,27,28,38,12
6,10,18,43,44,48,15
13,14,28,35,40,41,45
1,8,12,13,34,46,3
6,23,28,31,33,45,49
12,13,14,26,41,44,25
7,17,18,20,30,32,24
2,7,11,15,39,44,38
23,35,36,37,38,44,40
8,18,24,34,38,48,29
7,16,20,27,28,38,12
6,10,18,43,44,48,15
13,14,28,35,40,41,45
1,8,12,13,34,46,3
6,23,28,31,33,45,49
12,13,14,26,41,44,25
7,17,18,20,30,32,24
2,7,11,15,39,44,38
23,35,36,37,38,44,40
5,16,20,31,32,46,29
14,23,33,35,45,48,22
6,9,17,23,45,46,8
6,22,23,27,30,39,15
8,13,19,20,35,48,33
10,14,23,29,45,47,34
18,20,25,26,34,35,36
4,6,7,9,16,30,22
2,8,18,26,37,48,44
2,12,16,21,22,46,7
5,16,20,31,32,46,29
14,23,33,35,45,48,22
6,9,17,23,45,46,8
6,22,23,27,30,39,15
8,13,19,20,35,48,33
10,14,23,29,45,47,34
18,20,25,26,34,35,36
4,6,7,9,16,30,22
2,8,18,26,37,48,44
2,12,16,21,22,46,7
6,9,16,42,45,48,33
2,18,24,27,28,36,37
6,7,13,26,46,47,5
9,15,23,26,28,47,42
2,6,9,28,34,45,11
16,21,23,32,44,49,22
9,11,18,28,45,47,21
2,4,7,15,21,38,9
2,7,28,37,38,41,15
2,18,37,38,42,45,11
6,9,16,42,45,48,33
2,18,24,27,28,36,37
6,7,13,26,46,47,5
9,15,23,26,28,47,42
2,6,9,28,34,45,11
16,21,23,32,44,49,22
9,11,18,28,45,47,21
2,4,7,15,21,38,9
2,7,28,37,38,41,15
2,18,37,38,42,45,11
8,14,23,24,29,35,32
4,9,19,24,41,45,7
6,24,25,33,35,46,37
1,10,12,17,27,41,30
5,9,14,15,34,46,3
2,3,8,14,25,31,34
7,16,17,25,34,44,41
5,13,15,16,22,33,11
2,9,26,30,36,46,25
1,7,23,43,45,47,18
8,14,23,24,29,35,32
4,9,19,24,41,45,7
6,24,25,33,35,46,37
1,10,12,17,27,41,30
5,9,14,15,34,46,3
2,3,8,14,25,31,34
7,16,17,25,34,44,41
5,13,15,16,22,33,11
2,9,26,30,36,46,25
1,7,23,43,45,47,18
2,5,16,29,34,41,3
7,8,10,13,40,46,4
1,5,6,12,25,49,8
1,9,14,20,29,43,3
7,12,21,28,31,44,8
5,20,24,31,40,43,42
4,26,28,29,40,48,13
2,11,16,22,37,49,20
3,11,13,14,30,32,49
3,5,14,35,37,42,29
2,5,16,29,34,41,3
7,8,10,13,40,46,4
1,5,6,12,25,49,8
1,9,14,20,29,43,3
7,12,21,28,31,44,8
5,20,24,31,40,43,42
4,26,28,29,40,48,13
2,11,16,22,37,49,20
3,11,13,14,30,32,49
3,5,14,35,37,42,29
1,9,27,30,31,35,2
3,21,28,29,35,40,49
3,10,13,19,40,44,37
10,13,22,28,33,46,37
6,10,11,38,47,48,49
1,14,20,25,33,38,8
1,8,22,24,39,44,35
7,12,14,26,42,44,21
9,14,18,33,42,43,46
10,19,27,28,31,36,41
1,9,27,30,31,35,2
3,21,28,29,35,40,49
3,10,13,19,40,44,37
10,13,22,28,33,46,37
6,10,11,38,47,48,49
1,14,20,25,33,38,8
1,8,22,24,39,44,35
7,12,14,26,42,44,21
9,14,18,33,42,43,46
10,19,27,28,31,36,41
3,9,10,12,14,24,32
2,8,23,30,41,48,29
5,8,23,24,30,32,22
6,16,17,23,32,36,27
2,21,23,24,28,35,7
5,12,15,21,30,43,49
1,10,11,15,19,21,39
13,30,44,45,46,47,21
15,19,21,23,24,49,47
3,5,7,17,23,32,20
3,9,10,12,14,24,32
2,8,23,30,41,48,29
5,8,23,24,30,32,22
6,16,17,23,32,36,27
2,21,23,24,28,35,7
5,12,15,21,30,43,49
1,10,11,15,19,21,39
13,30,44,45,46,47,21
15,19,21,23,24,49,47
3,5,7,17,23,32,20
3,17,25,29,33,43,1
1,4,11,20,37,41,36
1,5,13,22,32,41,36
4,10,16,27,35,38,25
3,21,27,36,46,48,25
3,14,17,25,28,38,15
2,4,20,25,28,46,8
5,14,18,33,34,36,13
4,11,32,33,35,44,14
1,4,8,11,25,34,24
15,18,26,34,35,43,3
6,24,28,29,36,37,49
10,14,28,39,43,49,35
2,8,15,25,30,38,22
10,15,23,34,46,48,13
2,3,10,24,30,33,43
2,7,12,14,20,49,17
8,10,13,24,25,40,31
6,8,17,21,30,42,27
1,9,18,22,24,37,44
15,18,26,34,35,43,3
6,24,28,29,36,37,49
10,14,28,39,43,49,35
2,8,15,25,30,38,22
10,15,23,34,46,48,13
2,3,10,24,30,33,43
2,7,12,14,20,49,17
8,10,13,24,25,40,31
6,8,17,21,30,42,27
1,9,18,22,24,37,44
5,18,21,24,31,43,6
1,10,11,17,19,23,40
2,5,14,18,19,20,13
21,23,28,40,44,49,41
10,17,26,30,32,35,45
5,7,9,24,36,41,18
1,3,7,12,18,44,31
12,16,26,33,44,49,40
2,6,22,24,27,47,16
4,6,16,29,30,39,47
5,18,21,24,31,43,6
1,10,11,17,19,23,40
2,5,14,18,19,20,13
21,23,28,40,44,49,41
10,17,26,30,32,35,45
5,7,9,24,36,41,18
1,3,7,12,18,44,31
12,16,26,33,44,49,40
2,6,22,24,27,47,16
4,6,16,29,30,39,47
4,8,9,10,17,30,45
3,8,13,31,32,42,6
1,2,13,24,26,33,14
5,8,16,20,36,43,11
5,12,14,23,37,47,10
9,19,22,23,45,46,29
28,34,35,39,44,46,21
7,30,34,36,45,46,9
4,8,11,15,40,41,46
2,14,16,31,37,43,20
19,20,22,30,34,40,24
13,19,24,33,41,44,26
16,19,28,29,42,47,20
24,25,26,35,38,43,11
14,26,36,37,45,48,42
2,17,23,38,42,45,27
10,11,26,36,39,48,38
2,11,19,24,29,39,21
13,21,38,39,40,44,16
8,13,16,24,28,34,19
19,20,22,30,34,40,24
13,19,24,33,41,44,26
16,19,28,29,42,47,20
24,25,26,35,38,43,11
14,26,36,37,45,48,42
2,17,23,38,42,45,27
10,11,26,36,39,48,38
2,11,19,24,29,39,21
13,21,38,39,40,44,16
8,13,16,24,28,34,19
10,23,32,38,39,46,22
7,10,28,33,42,48,44
11,24,25,29,35,46,47
2,5,9,20,23,43,10
4,10,32,39,47,49,42
4,26,27,29,40,46,35
1,9,12,24,31,35,17
9,11,12,15,16,44,30
5,12,14,28,32,35,13
4,12,21,30,45,46,22
10,23,32,38,39,46,22
7,10,28,33,42,48,44
11,24,25,29,35,46,47
2,5,9,20,23,43,10
4,10,32,39,47,49,42
4,26,27,29,40,46,35
1,9,12,24,31,35,17
9,11,12,15,16,44,30
5,12,14,28,32,35,13
4,12,21,30,45,46,22
11,22,26,38,44,47,3
1,2,12,16,17,47,26
3,5,7,9,12,17,41
8,10,35,42,44,47,31
3,6,10,24,37,42,30
24,26,27,36,38,49,22
7,9,21,23,36,39,31
10,12,14,17,33,46,36
1,6,10,24,40,41,30
6,13,14,36,41,43,33
11,22,26,38,44,47,3
1,2,12,16,17,47,26
3,5,7,9,12,17,41
8,10,35,42,44,47,31
3,6,10,24,37,42,30
24,26,27,36,38,49,22
7,9,21,23,36,39,31
10,12,14,17,33,46,36
1,6,10,24,40,41,30
6,13,14,36,41,43,33
3,19,21,23,25,45,13
1,9,11,22,44,49,13
4,22,26,31,34,41,35
5,9,40,41,44,47,21
9,16,22,23,44,46,10
26,27,41,44,45,47,11
3,5,7,25,35,42,39
1,3,11,19,29,33,15
1,7,9,10,21,45,6
2,21,24,30,40,48,26
3,19,21,23,25,45,13
1,9,11,22,44,49,13
4,22,26,31,34,41,35
5,9,40,41,44,47,21
9,16,22,23,44,46,10
26,27,41,44,45,47,11
3,5,7,25,35,42,39
1,3,11,19,29,33,15
1,7,9,10,21,45,6
2,21,24,30,40,48,26
2,9,18,21,24,44,47
11,16,18,22,45,46,10
7,8,12,16,30,41,39
9,25,36,42,47,48,29
2,10,15,17,24,36,4
9,10,19,27,30,33,20
1,10,24,25,35,44,15
3,8,11,14,32,44,4
5,7,13,24,31,35,38
11,14,22,41,45,48,21
2,9,18,21,24,44,47
11,16,18,22,45,46,10
7,8,12,16,30,41,39
9,25,36,42,47,48,29
2,10,15,17,24,36,4
9,10,19,27,30,33,20
1,10,24,25,35,44,15
3,8,11,14,32,44,4
5,7,13,24,31,35,38
11,14,22,41,45,48,21
8,10,11,19,27,33,7
3,6,10,13,31,45,26
12,13,18,29,33,35,25
10,14,24,30,38,46,36
17,22,32,33,38,40,28
7,10,11,16,30,37,18
5,15,22,39,42,46,34
7,16,17,26,29,41,13
3,7,16,23,37,48,28
1,4,12,16,34,45,23
8,10,11,19,27,33,7
3,6,10,13,31,45,26
12,13,18,29,33,35,25
10,14,24,30,38,46,36
17,22,32,33,38,40,28
7,10,11,16,30,37,18
5,15,22,39,42,46,34
7,16,17,26,29,41,13
3,7,16,23,37,48,28
1,4,12,16,34,45,23
3,19,31,37,44,46,9
6,17,25,38,46,48,10
12,30,32,33,37,48,17
4,13,15,28,40,48,23
2,5,7,13,19,31,35
4,15,17,38,47,49,21
14,21,27,36,40,42,20
3,17,18,22,26,30,8
8,11,15,17,38,47,36
13,20,28,38,40,44,39
3,19,31,37,44,46,9
6,17,25,38,46,48,10
12,30,32,33,37,48,17
4,13,15,28,40,48,23
2,5,7,13,19,31,35
4,15,17,38,47,49,21
14,21,27,36,40,42,20
3,17,18,22,26,30,8
8,11,15,17,38,47,36
13,20,28,38,40,44,39
3,14,18,30,47,48,44
4,21,27,31,48,49,45
3,12,31,38,41,44,13
6,17,20,38,43,47,34
12,14,28,30,35,43,27
29,36,39,41,46,49,16
4,24,38,40,45,47,33
3,13,14,15,36,49,42
9,22,35,37,38,46,24
7,8,21,24,30,40,19
3,14,18,30,47,48,44
4,21,27,31,48,49,45
3,12,31,38,41,44,13
6,17,20,38,43,47,34
12,14,28,30,35,43,27
29,36,39,41,46,49,16
4,24,38,40,45,47,33
3,13,14,15,36,49,42
9,22,35,37,38,46,24
7,8,21,24,30,40,19
2,4,26,33,34,37,43
9,11,26,28,42,49,36
3,6,14,35,36,41,30
10,11,13,19,30,49,27
11,15,26,34,40,47,36
3,6,19,25,32,33,21
2,5,6,10,20,34,43
4,14,19,20,22,34,31
17,23,26,34,39,48,15
6,16,21,39,43,44,1
2,4,26,33,34,37,43
9,11,26,28,42,49,36
3,6,14,35,36,41,30
10,11,13,19,30,49,27
11,15,26,34,40,47,36
3,6,19,25,32,33,21
2,5,6,10,20,34,43
4,14,19,20,22,34,31
17,23,26,34,39,48,15
6,16,21,39,43,44,1
2,10,24,26,34,36,1
11,15,23,34,45,46,19
5,10,16,22,30,43,41
15,19,28,30,43,49,5
17,26,34,43,44,47,20
7,8,16,20,45,47,49
1,19,22,33,46,47,42
7,8,22,29,30,46,12
3,5,7,8,18,20,13
1,4,22,24,41,44,48
2,10,24,26,34,36,1
11,15,23,34,45,46,19
5,10,16,22,30,43,41
15,19,28,30,43,49,5
17,26,34,43,44,47,20
7,8,16,20,45,47,49
1,19,22,33,46,47,42
7,8,22,29,30,46,12
3,5,7,8,18,20,13
1,4,22,24,41,44,48
1,7,31,43,44,45,28
1,22,28,34,40,45,12
1,7,10,11,17,43,24
8,15,18,22,28,49,7
11,32,41,42,44,46,35
21,25,29,34,41,47,43
17,23,31,39,43,48,6
2,10,32,40,44,48,22
6,9,14,25,26,38,36
8,9,21,34,38,40,26
1,7,31,43,44,45,28
1,22,28,34,40,45,12
1,7,10,11,17,43,24
8,15,18,22,28,49,7
11,32,41,42,44,46,35
21,25,29,34,41,47,43
17,23,31,39,43,48,6
2,10,32,40,44,48,22
6,9,14,25,26,38,36
8,9,21,34,38,40,26
1,11,19,26,37,47,4
7,9,13,15,31,42,12
9,23,24,27,34,36,28
9,16,26,29,30,49,6
3,4,13,14,23,32,49
28,29,33,35,40,46,11
4,15,22,26,32,36,10
9,15,17,21,24,43,46
4,11,22,24,39,48,12
1,3,14,16,29,33,23
1,11,19,26,37,47,4
7,9,13,15,31,42,12
9,23,24,27,34,36,28
9,16,26,29,30,49,6
3,4,13,14,23,32,49
28,29,33,35,40,46,11
4,15,22,26,32,36,10
9,15,17,21,24,43,46
4,11,22,24,39,48,12
1,3,14,16,29,33,23
5,6,28,31,38,47,10
7,13,15,17,24,39,46
2,5,29,32,34,35,21
1,3,9,32,36,41,17
2,13,18,26,30,43,39
3,8,16,25,36,47,6
16,17,19,33,36,41,48
7,9,29,40,46,49,30
13,25,29,38,45,46,35
4,22,37,38,39,44,16
5,6,28,31,38,47,10
7,13,15,17,24,39,46
2,5,29,32,34,35,21
1,3,9,32,36,41,17
2,13,18,26,30,43,39
3,8,16,25,36,47,6
16,17,19,33,36,41,48
7,9,29,40,46,49,30
13,25,29,38,45,46,35
4,22,37,38,39,44,16
3,13,15,17,29,36,7
8,15,22,27,35,43,41
6,8,14,31,34,45,2
3,8,14,22,28,47,39
1,10,17,26,31,33,22
4,6,17,27,43,49,47
1,27,41,43,44,45,14
14,20,21,28,41,49,29
4,6,9,20,35,47,23
11,15,17,23,31,40,21
3,13,15,17,29,36,7
8,15,22,27,35,43,41
6,8,14,31,34,45,2
3,8,14,22,28,47,39
1,10,17,26,31,33,22
4,6,17,27,43,49,47
1,27,41,43,44,45,14
14,20,21,28,41,49,29
4,6,9,20,35,47,23
11,15,17,23,31,40,21
5,20,28,39,42,46,34
12,13,26,29,31,39,6
11,20,30,34,42,46,12
4,14,18,22,23,30,15
3,15,19,33,45,49,40
7,13,16,25,44,46,12
1,8,29,31,39,49,17
12,16,21,23,25,47,36
13,23,26,31,32,44,38
27,32,33,40,42,46,37
5,20,28,39,42,46,34
12,13,26,29,31,39,6
11,20,30,34,42,46,12
4,14,18,22,23,30,15
3,15,19,33,45,49,40
7,13,16,25,44,46,12
1,8,29,31,39,49,17
12,16,21,23,25,47,36
13,23,26,31,32,44,38
27,32,33,40,42,46,37
3,24,35,36,39,42,27
7,12,17,18,37,38,28
1,4,13,27,36,49,34
19,25,32,36,37,39,45
4,9,15,16,17,31,11
3,8,15,33,37,38,5
3,5,7,37,44,49,28
3,4,16,21,36,43,31
17,22,24,36,39,40,4
3,16,30,33,38,42,35
3,24,35,36,39,42,27
7,12,17,18,37,38,28
1,4,13,27,36,49,34
19,25,32,36,37,39,45
4,9,15,16,17,31,11
3,8,15,33,37,38,5
3,5,7,37,44,49,28
3,4,16,21,36,43,31
17,22,24,36,39,40,4
3,16,30,33,38,42,35
3,24,28,39,44,49,25
17,32,33,36,38,46,45
2,24,35,36,43,44,42
6,15,16,18,27,32,9
4,9,12,27,33,40,31
4,19,30,36,42,43,34
10,15,30,39,46,47,45
5,14,17,25,34,39,35
8,9,14,26,34,37,35
37,39,40,41,42,44,33
3,24,28,39,44,49,25
17,32,33,36,38,46,45
2,24,35,36,43,44,42
6,15,16,18,27,32,9
4,9,12,27,33,40,31
4,19,30,36,42,43,34
10,15,30,39,46,47,45
5,14,17,25,34,39,35
8,9,14,26,34,37,35
37,39,40,41,42,44,33
15,19,23,35,36,48,34
4,23,28,37,38,44,25
18,26,27,43,45,47,25
10,15,17,26,39,45,38
7,8,24,39,43,47,13
2,27,29,42,46,49,38
16,26,29,33,35,38,48
10,11,23,37,44,47,40
2,10,12,17,24,28,43
22,27,28,38,45,48,40
15,19,23,35,36,48,34
4,23,28,37,38,44,25
18,26,27,43,45,47,25
10,15,17,26,39,45,38
7,8,24,39,43,47,13
2,27,29,42,46,49,38
16,26,29,33,35,38,48
10,11,23,37,44,47,40
2,10,12,17,24,28,43
22,27,28,38,45,48,40
24,27,33,39,41,43,38
28,32,40,41,43,48,8
13,26,32,44,45,49,46
1,3,24,32,33,49,10
3,12,18,19,20,31,34
3,16,21,30,37,49,34
10,20,39,42,44,49,12
2,4,8,14,16,25,22
1,23,24,35,47,49,28
11,13,15,24,36,41,37
24,27,33,39,41,43,38
28,32,40,41,43,48,8
13,26,32,44,45,49,46
1,3,24,32,33,49,10
3,12,18,19,20,31,34
3,16,21,30,37,49,34
10,20,39,42,44,49,12
2,4,8,14,16,25,22
1,23,24,35,47,49,28
11,13,15,24,36,41,37
1,9,22,36,39,49,42
6,8,14,27,32,49,38
7,20,21,26,30,49,11
4,17,22,23,44,49,12
6,20,22,29,37,45,18
5,6,7,9,41,46,35
